Class_Name,Class
crawling baby,7
digging,19
driving car,5
driving tractor.6
high jump,2
holding snake,8
long jump,3
reading book,9
reading newspaper,10
riding camel,11
riding elephant,12
riding mechanical bull,13
riding mountain bike,14
riding mule,15
riding or walking with horse,16
riding scooter,17
riding unicycle,18
running on treadmill,1
triple jump,4
walking the dog,0
writing,20
Astronaut standing and servicing,21
Simulated Rover Driving,22
Astronaut driving car,23
Astronaut picking up object,24
Astronaut stepping,25
