                       Class_Name  Original_Class  New_Class
77                  crawling baby              77        7.0
90                        digging              90       19.0
103                   driving car             103        5.0
104               driving tractor             104        6.0
151                     high jump             151        2.0
155                 holding snake             155        8.0
182                     long jump             182        3.0
264                  reading book             264        9.0
265             reading newspaper             265       10.0
268                  riding camel             268       11.0
269               riding elephant             269       12.0
270        riding mechanical bull             270       13.0
271          riding mountain bike             271       14.0
272                   riding mule             272       15.0
273  riding or walking with horse             273       16.0
274                riding scooter             274       17.0
275               riding unicycle             275       18.0
281          running on treadmill             281        1.0
367                   triple jump             367        4.0
378               walking the dog             378        0.0
396                       writing             396       20.0
