epoch,loss,acc
epoch,loss,acc
epoch,loss,acc
1,0.00000,0.00000
epoch,loss,acc
1,0.00000,0.00000
epoch,loss,acc
1,0.00000,0.00000
2,65.00000,0.00000
3,30.00000,0.00000
4,70.00000,0.00000
5,70.00000,0.00000
6,65.00000,0.00000
7,70.00000,0.00000
8,55.00000,0.00000
9,70.00000,0.00000
10,80.00000,0.00000
11,90.00000,0.00000
12,70.00000,0.00000
13,60.00000,0.00000
epoch,loss,acc
epoch,loss,acc
1,5.71429,12.00000
2,7.14286,14.88889
3,20.00000,19.11111
4,35.71429,17.55556
5,24.28571,21.55556
6,34.28571,18.22222
7,32.85714,12.00000
8,58.57143,18.96296
9,60.00000,16.96296
10,52.85714,17.40741
11,65.71429,24.81481
12,65.71429,22.37037
13,64.28571,23.55556
14,80.00000,26.22222
15,78.57143,29.62963
16,80.00000,30.88889
17,84.28571,31.55556
18,75.71429,30.22222
19,78.57143,30.22222
20,78.57143,30.22222
epoch,loss,acc
