epoch,loss,acc
1,53.84615,83.33333
2,46.15385,50.00000
3,53.84615,100.00000
4,61.53846,100.00000
5,92.30769,100.00000
epoch,loss,acc
1,0.00000,0.00000
2,0.00000,0.00000
epoch,loss,acc
1,53.84615,16.66667
2,46.15385,0.00000
3,53.84615,16.66667
4,61.53846,16.66667
5,92.30769,16.66667
6,92.30769,16.66667
7,76.92308,16.66667
8,92.30769,16.66667
9,84.61538,16.66667
10,100.00000,16.66667
11,92.30769,16.66667
12,100.00000,16.66667
13,100.00000,16.66667
14,100.00000,16.66667
15,92.30769,16.66667
epoch,loss,acc
1,0.00000,0.00000
2,0.00000,0.00000
3,0.00000,0.00000
4,0.00000,0.00000
5,0.00000,0.00000
6,0.00000,0.00000
7,0.00000,0.00000
8,0.00000,0.00000
9,0.00000,0.00000
10,0.00000,0.00000
11,0.00000,0.00000
12,0.00000,0.00000
13,0.00000,0.00000
14,0.00000,0.00000
15,0.00000,0.00000
16,0.00000,0.00000
17,0.00000,0.00000
18,0.00000,0.00000
19,0.00000,0.00000
20,0.00000,0.00000
epoch,loss,acc
1,4.91803,11.82796
2,18.03279,10.75269
3,14.75410,12.90323
4,21.31148,13.97849
5,27.86885,19.35484
6,24.59016,20.43011
7,34.42623,17.20430
8,24.59016,16.12903
9,37.70492,15.05376
10,42.62295,20.43011
11,40.98361,18.27957
12,54.09836,27.95699
13,57.37705,17.20430
14,63.93443,23.65591
15,68.85246,18.27957
16,75.40984,19.35484
17,73.77049,19.35484
18,81.96721,20.43011
19,77.04918,19.35484
20,78.68852,19.35484
