epoch,loss,acc
epoch,loss,acc
1,33.53659,70.23810
2,38.41463,76.19048
3,45.73171,78.57143
4,55.48780,77.38095
5,64.63415,54.76190
6,71.95122,75.00000
7,76.21951,70.23810
8,79.26829,75.00000
9,81.70732,80.95238
10,82.92683,65.47619
epoch,loss,acc
7,42.30769,50.00000
8,48.55769,57.29167
9,57.21154,55.20833
10,61.53846,53.12500
11,59.61538,59.37500
12,66.34615,70.83333
13,72.59615,60.41667
14,75.00000,62.50000
15,75.00000,67.70833
16,75.00000,71.87500
17,77.40385,71.87500
18,79.80769,65.62500
19,78.84615,67.70833
20,77.88462,66.66667
21,83.65385,57.29167
22,77.88462,68.75000
23,82.21154,66.66667
24,87.50000,61.45833
25,85.09615,66.66667
