epoch,loss,acc
1,7.14286,8.66667
2,1.42857,4.00000
3,8.57143,16.00000
4,10.00000,16.44444
5,32.85714,19.85185
6,60.00000,32.29630
7,65.71429,37.25926
8,74.28571,37.62963
9,90.00000,46.44444
10,92.85714,45.77778
11,94.28571,55.62963
12,97.14286,56.22222
13,98.57143,49.55556
14,98.57143,45.48148
15,100.00000,46.14815
16,100.00000,50.96296
17,100.00000,54.96296
18,100.00000,55.03704
19,100.00000,52.96296
20,100.00000,52.96296
epoch,loss,acc
1,7.14286,8.66667
2,1.42857,4.00000
3,8.57143,16.00000
4,10.00000,16.44444
5,32.85714,19.85185
epoch,loss,acc
1,7.14286,8.66667
2,1.42857,4.00000
3,8.57143,16.00000
4,10.00000,16.44444
5,32.85714,19.85185
6,60.00000,32.29630
7,65.71429,37.25926
8,74.28571,37.62963
9,90.00000,46.44444
10,92.85714,45.77778
11,94.28571,55.62963
12,97.14286,56.22222
13,98.57143,49.55556
14,98.57143,45.48148
15,100.00000,46.14815
16,100.00000,50.96296
17,100.00000,54.96296
18,100.00000,55.03704
19,100.00000,52.96296
20,100.00000,52.96296
epoch,loss,acc
epoch,loss,acc
1,7.14286,8.66667
2,1.42857,4.00000
3,8.57143,16.00000
epoch,loss,acc
1,7.14286,8.66667
2,5.71429,12.22222
3,15.71429,26.22222
