epoch,loss,acc
1,5.71429,12.00000
2,7.14286,14.88889
3,20.00000,17.77778
4,20.00000,17.55556
5,24.28571,20.88889
6,34.28571,15.33333
7,31.42857,7.40741
8,52.85714,16.96296
9,38.57143,18.88889
10,48.57143,19.55556
11,57.14286,23.48148
12,60.00000,26.37037
13,62.85714,26.51852
14,54.28571,26.29630
15,70.00000,33.40741
16,65.71429,40.66667
17,75.71429,27.18519
18,72.85714,29.11111
19,72.85714,25.92593
20,72.85714,21.33333
21,81.42857,21.85185
22,72.85714,24.88889
23,65.71429,18.66667
24,75.71429,25.40741
25,78.57143,18.14815
26,85.71429,23.18519
27,71.42857,24.07407
28,74.28571,25.85185
29,77.14286,19.55556
30,78.57143,22.44444
31,72.85714,18.22222
32,71.42857,40.00000
33,72.85714,28.51852
34,82.85714,26.66667
35,82.85714,30.66667
36,78.57143,36.59259
37,82.85714,29.62963
38,84.28571,32.00000
39,77.14286,25.48148
40,85.71429,23.85185
41,82.85714,34.07407
42,82.85714,33.55556
43,87.14286,29.70370
44,87.14286,25.48148
45,85.71429,33.92593
46,87.14286,27.18519
47,84.28571,29.92593
48,88.57143,29.40741
49,92.85714,22.37037
50,87.14286,24.66667
51,87.14286,21.62963
52,82.85714,20.14815
53,84.28571,24.29630
54,85.71429,19.25926
55,85.71429,27.03704
56,85.71429,14.81481
57,94.28571,22.00000
58,87.14286,24.74074
59,85.71429,17.77778
60,90.00000,20.88889
61,84.28571,24.66667
62,91.42857,29.33333
63,88.57143,22.81481
64,82.85714,16.81481
65,82.85714,19.62963
66,92.85714,20.07407
67,85.71429,16.74074
68,94.28571,18.51852
69,87.14286,15.33333
70,75.71429,13.33333
71,85.71429,18.51852
72,81.42857,24.29630
73,85.71429,23.55556
74,90.00000,33.85185
75,92.85714,31.18519
76,90.00000,31.11111
77,87.14286,25.11111
78,91.42857,25.03704
79,94.28571,29.85185
80,90.00000,27.55556
81,91.42857,34.51852
82,87.14286,28.22222
83,91.42857,29.70370
84,90.00000,22.00000
85,91.42857,27.11111
86,87.14286,21.92593
87,94.28571,23.25926
88,90.00000,18.88889
89,97.14286,17.48148
90,87.14286,27.48148
91,77.14286,26.22222
92,77.14286,20.22222
93,94.28571,26.14815
94,85.71429,30.00000
95,87.14286,25.70370
96,91.42857,29.70370
97,95.71429,26.44444
98,82.85714,26.37037
99,94.28571,26.88889
100,88.57143,31.48148
101,97.14286,32.88889
102,90.00000,27.55556
103,91.42857,21.48148
104,88.57143,27.70370
105,87.14286,34.37037
106,95.71429,37.77778
107,97.14286,37.85185
108,95.71429,32.37037
109,91.42857,32.96296
110,91.42857,31.77778
111,94.28571,28.51852
112,94.28571,32.00000
113,97.14286,27.77778
114,94.28571,24.81481
115,97.14286,20.14815
116,94.28571,24.96296
117,91.42857,22.14815
118,94.28571,24.44444
119,98.57143,21.70370
