epoch,loss,acc
21,98.04688,58.83838
22,97.57812,48.23232
23,98.51562,56.56566
24,98.51562,63.88889
25,98.98438,62.87879
26,99.14062,58.33333
27,99.21875,48.98990
28,99.21875,53.28283
29,99.53125,54.29293
30,99.84375,50.25253
31,99.37500,49.49495
32,99.76562,47.72727
33,99.76562,49.49495
34,99.92188,49.24242
35,99.92188,48.23232
36,99.84375,49.74747
37,99.76562,48.98990
38,99.76562,47.97980
39,99.76562,47.22222
40,99.92188,47.97980
41,100.00000,47.22222
42,99.76562,47.47475
43,99.76562,47.47475
44,100.00000,47.47475
45,100.00000,47.47475
epoch,loss,acc
46,0.00000,15.98174
epoch,loss,acc
47,0.00000,76.19048
